id,x_m,y_m,z_m,px_beta_gamma,py_beta_gamma,pz_beta_gamma,px_MeVc,py_MeVc,pz_MeVc,macro_charge_C
20,-1.05414570589696679e-03,-9.49459937583348027e-04,1.33571289622951644e-01,4.00534131139072533e-06,1.95068085582255573e-06,2.77012713124889493e-06,2.04672941012066068e-06,9.96797917325325972e-07,1.41553496406818534e-06,-3.90625000000000024e-12
21,-1.04808375712697049e-03,1.07561926255050400e-03,-8.07210965021011584e-02,1.19723002666879881e-06,1.42236354616855578e-06,1.17176907799860833e-06,6.11784543627756186e-07,7.26827772092132007e-07,5.98773998857288827e-07,-3.90625000000000024e-12
22,2.65049384508366285e-04,1.16573364685642082e-03,-5.92430722967307241e-03,-3.19036295718405631e-07,-3.47604307520270295e-06,-3.19411731572261680e-06,-1.63027547112105281e-07,-1.77625801142858118e-06,-1.63219394833425729e-06,-3.90625000000000024e-12
23,-1.14665729167150458e-03,-4.87075102852320961e-04,1.13851272729980413e-01,7.43897688137173983e-07,1.00062806074079928e-06,1.84866198775433371e-07,3.80131718638095901e-07,5.11320939038548489e-07,9.44666275742464548e-08,-3.90625000000000024e-12
24,1.94618236627008541e-04,7.08719099230940321e-04,8.80223584740381752e-03,-1.08127266933967100e-06,-9.38480106335223490e-07,-2.43413848682496835e-06,-5.52530334032571943e-07,-4.79563334337299225e-07,-1.24384476676755884e-06,-3.90625000000000024e-12
25,2.89385926683049003e-04,-1.87002318136205228e-04,-1.01258257746409730e-01,2.29663717116769221e-06,-3.23602427137013060e-06,3.17083303015317400e-06,1.17358159446669082e-06,-1.65360840267013681e-06,1.62029567840827196e-06,-3.90625000000000024e-12
26,5.47097919520569140e-04,1.86336447838297180e-04,-1.97821579223448923e-01,-8.53341183251160032e-07,4.92850597278201594e-06,9.34056930939717537e-07,-4.36057344641342804e-07,2.51846655209161033e-06,4.77303091710195683e-07,-3.90625000000000024e-12
27,9.60727397299890800e-06,9.75810660649356751e-04,1.93595494178828487e-01,-6.29371922029755911e-07,2.18797859100969282e-07,-9.59277847363830373e-07,-3.21609052157205273e-07,1.11805706000595300e-07,-4.90190980002917372e-07,-3.90625000000000024e-12
28,-1.35145266321319004e-03,1.16703637527939888e-04,5.61353631195170288e-02,2.92286853849880585e-06,-8.26671002814803117e-08,4.21401415936215087e-07,1.49358582317288992e-06,-4.22428882438364404e-08,2.15336123543405927e-07,-3.90625000000000024e-12
29,7.61428946851899270e-04,-6.93964848586135319e-04,5.14818343101795528e-02,-1.74901314673912872e-06,1.08262723960616414e-06,-2.95446681345128649e-06,-8.93745717983694772e-07,5.53222519438749837e-07,-1.50973254167360752e-06,-3.90625000000000024e-12
30,-4.13657734263018009e-04,-4.17308341181175281e-05,-5.29578384933243537e-02,-1.36101042270793286e-06,2.36762482807871717e-06,-4.09612419367429967e-06,-6.95476326003753671e-07,1.20985628714822440e-06,-2.09311946296756700e-06,-3.90625000000000024e-12
31,3.11442950464279266e-04,-3.85534268221127694e-04,3.06024041372493193e-02,5.02464860445875141e-07,2.21535221141395175e-06,1.57155254606862606e-07,2.56759543687842224e-07,1.13204498003252927e-06,8.03063351041067968e-08,-3.90625000000000024e-12
32,-8.11300810064321165e-05,9.19711620288352831e-04,1.68596926900123012e-01,2.77935043195458188e-06,2.36351791861345588e-06,8.81665850280931249e-07,1.42024807072879145e-06,1.20775765641147593e-06,4.50531249493555857e-07,-3.90625000000000024e-12
33,-7.49104907576901953e-05,-7.30266685213552705e-04,-2.26734972836241458e-02,-3.17712003727462988e-06,-1.00250713504700872e-06,-7.28998335538571631e-07,-1.62350833904733587e-06,-5.12281146009021490e-07,-3.72518149460210112e-07,-3.90625000000000024e-12
34,-5.30229464450824163e-04,-1.65586969252270490e-03,2.81182743001697540e-03,1.84597970903190007e-06,-2.81619241372969997e-07,-6.92040780527489575e-07,9.43295631315300990e-07,-1.43907432341587660e-07,-3.53632838849547201e-07,-3.90625000000000024e-12
35,-4.87599394120870344e-04,9.04822382980876943e-04,-1.25482342938199390e-02,-2.64060993232847535e-06,-5.46354910074470914e-07,2.72240466015264385e-07,-1.34935167541985103e-06,-2.79187359048054617e-07,1.39114878133800097e-07,-3.90625000000000024e-12
36,9.29933662401298392e-04,7.70521464110879317e-04,-4.95107315762933278e-02,-4.92948607150084038e-06,-3.18928373273384475e-07,5.25146208540272947e-07,-2.51896738253692952e-06,-1.62972398742699478e-07,2.68349712564079479e-07,-3.90625000000000024e-12
37,-3.26472119497743583e-04,-5.23207891716390649e-04,-4.52038992687356922e-02,-7.37416449670535505e-07,-5.13368030978045755e-07,-1.33856568069699906e-06,-3.76819805781643634e-07,-2.62331063829781413e-07,-6.84007062836166499e-07,-3.90625000000000024e-12
38,8.21993589265341846e-04,-5.18336974392629617e-04,-4.19757893396815740e-02,1.49364360233268804e-06,-1.31449754662614292e-06,2.06296441171077304e-06,7.63251880792003651e-07,-6.71708246325959045e-07,1.05417481438420495e-06,-3.90625000000000024e-12
39,-8.05558428381119478e-04,1.39805986245099528e-03,-3.62789050852726988e-02,4.46055863880968674e-07,-3.95334716242389139e-06,-8.31649520951119180e-07,2.27934546443175000e-07,-2.02016039999860840e-06,-4.24972905206021894e-07,-3.90625000000000024e-12
40,-1.58442329868405905e-04,-8.70361600720459647e-04,2.23451553952780310e-02,2.98258616551885568e-07,1.38123589522544765e-06,-2.17910840697281361e-08,1.52410153058013523e-07,7.05811542460203721e-07,-1.11352439596310782e-08,-3.90625000000000024e-12
41,-7.92722527985415958e-04,-6.79303244218956389e-04,-2.04952420161620991e-01,-5.05596121106100179e-07,1.32326564425998617e-06,2.83744937662043988e-06,-2.58359617885217172e-07,6.76188744216852947e-07,1.44993663145304476e-06,-3.90625000000000024e-12
42,-1.65800726262249273e-03,1.70487277216517844e-04,7.39948316636636488e-02,-3.73752134628088580e-06,-1.46423715378242983e-06,3.02596877324284988e-06,-1.90987340794953273e-06,-7.48225185582821640e-07,1.54627004312709622e-06,-3.90625000000000024e-12
43,-1.68304370902112757e-03,1.42405415529609788e-04,1.65201491515496873e-02,3.14774099779655975e-07,-2.13451482418972442e-06,3.09006350018033375e-06,1.60849564987404195e-07,-1.09073707516094930e-06,1.57902244859215052e-06,-3.90625000000000024e-12
44,3.02187235053500650e-03,-1.01409690095525151e-03,-6.92190130443380569e-02,3.59769690710076493e-06,-6.58028313655541554e-07,1.24784882262094313e-06,1.83842311952849091e-06,-3.36252468277981724e-07,6.37650748359301962e-07,-3.90625000000000024e-12
45,-1.07334355867270666e-03,7.99493843940533638e-04,1.02088195431648932e-01,-1.72479961732859031e-07,5.01633404580015379e-07,1.69548898549639674e-06,-8.81372604454909639e-08,2.56334669740387862e-07,8.66394871588658787e-07,-3.90625000000000024e-12
46,-2.93738086161870321e-04,1.49245484366431229e-03,2.07859944535363467e-01,-7.16919917223957530e-07,-3.49441397749663833e-07,-8.01829511638417097e-07,-3.66346077701442282e-07,-1.78564554250078227e-07,-4.09734880447231144e-07,-3.90625000000000024e-12
47,-4.87822542074951176e-04,5.29415088167636480e-04,-2.14047668244448236e-02,-3.54268939379070985e-06,6.75315579374831976e-07,1.39708748822129018e-06,-1.81031428022705266e-06,3.45086261060539156e-07,7.13911706481079310e-07,-3.90625000000000024e-12
48,-6.53978139738496862e-04,-4.82329573324356072e-04,-2.54218135459049061e-02,9.24599100368900449e-08,-1.38913952915149888e-07,1.35064266658591240e-06,4.72470140288508130e-08,-7.09850299396415965e-08,6.90178402625401248e-07,-3.90625000000000024e-12
49,-1.30155627539599154e-03,-1.01040656222852216e-04,7.84137299818362110e-02,-1.58640033698681066e-06,-2.27367870232778096e-06,6.55022948342080183e-07,-8.10650572200260274e-07,-1.16184981688949610e-06,3.34716726602802965e-07,-3.90625000000000024e-12
50,-9.55071532997747979e-04,-5.34616852243496496e-04,-9.20745978052622260e-02,6.97570076830985938e-08,3.16061610806747915e-06,-2.98562393648138773e-06,3.56458309260633835e-08,1.61507483122248196e-06,-1.52565383154198926e-06,-3.90625000000000024e-12
51,3.68360897178410371e-04,-1.13960105917775825e-04,9.19929963513762966e-02,-3.16370732473430618e-07,-2.60865863974331514e-06,3.89765209949499754e-06,-1.61665444293923061e-07,-1.33302456490883411e-06,1.99170022284194364e-06,-3.90625000000000024e-12
52,-3.24001992540641124e-04,-1.47741039586120164e-03,5.55597930255623471e-02,-1.01820006290185870e-06,1.26694695081181051e-06,-4.52939348207423149e-06,-5.20300232142849792e-07,6.47409891864835171e-07,-2.31452006933993241e-06,-3.90625000000000024e-12
53,-3.06775274640391337e-04,1.13445574912935570e-03,7.09386070145345410e-02,-2.08377285422261705e-06,1.26843645124263871e-06,-1.00712240947951439e-06,-1.06480792850775741e-06,6.48171026584988405e-07,-5.14639551244031906e-07,-3.90625000000000024e-12
54,-2.63488274645520566e-03,-1.98113659349231572e-03,2.22805115272997015e-03,-1.40358542857766003e-06,1.10803604379680856e-06,2.13199691221588882e-08,-7.17232154003184264e-07,5.66206418380169207e-07,1.08945042214231921e-08,-3.90625000000000024e-12
55,-7.60923403483822355e-04,-2.25064251588614258e-03,-5.43995115477376723e-02,4.19950983920368296e-08,3.12793197943253601e-07,-1.13299142558048091e-06,2.14594952783308205e-08,1.59837324149002586e-07,-5.78958618471625729e-07,-3.90625000000000024e-12
56,1.28003827753934052e-03,6.25785031398921237e-04,-8.95357663049436148e-02,2.78484644796308878e-06,1.78833116298583693e-06,-4.40473883465247540e-07,1.42305653490913832e-06,9.13837224285762735e-07,-2.25082154450741495e-07,-3.90625000000000024e-12
57,2.76713803819579845e-04,1.00453948040045492e-03,-1.93803160148799530e-02,-8.88006815416031094e-07,-3.75779790017065707e-06,-2.36051755768298908e-06,-4.53771482677591890e-07,-1.92023472698720570e-06,-1.20622447197600740e-06,-3.90625000000000024e-12
58,1.76374171563867775e-03,-7.17543229445332591e-04,2.09603399291391407e-01,2.38754018290630437e-06,-2.46556190680530031e-06,-9.79528225644452846e-07,1.22003303346512151e-06,-1.25990213437750851e-06,-5.00538923304315398e-07,-3.90625000000000024e-12
59,1.52561880641683247e-03,5.11698772247812781e-04,2.17997878539582524e-02,3.05771077889364167e-06,1.90492008158133276e-06,5.03036778169260366e-07,1.56249020801465084e-06,9.73414161688061048e-07,2.57051793644492052e-07,-3.90625000000000024e-12
60,2.58197797376366014e-05,-9.41024389038115031e-04,9.73908109472836625e-02,6.26348105814226569e-07,-7.81241098196505965e-07,1.87948292081289895e-07,3.20063882071069792e-07,-3.99214201178414552e-07,9.60415772535391377e-08,-3.90625000000000024e-12
61,1.26654181673206711e-03,7.78462042168633875e-04,2.75892183994027873e-02,-6.92901891631217417e-08,2.41273843810443545e-06,1.34005937815090476e-06,-3.54072866623552132e-08,1.23290934187136650e-06,6.84770342235112292e-07,-3.90625000000000024e-12
62,1.00913850902939866e-04,-9.36884088354849286e-04,-6.60831229922168861e-02,-1.55132236563876703e-06,2.60759479513779457e-06,1.52304882495748598e-06,-7.92725728841410018e-07,1.33248094031541310e-06,7.78277949553275333e-07,-3.90625000000000024e-12
63,-1.45054604550982425e-03,4.78116575137580628e-04,-9.07489675764848874e-02,2.06043271735700214e-06,2.34901307892895595e-06,1.44520442398456929e-06,1.05288111856942808e-06,1.20034568333269652e-06,7.38499460656114952e-07,-3.90625000000000024e-12
64,8.32917909934155661e-04,-6.67574074728732089e-04,1.41584531975686073e-01,3.43168329604713916e-07,2.48127733238214040e-06,2.21630894071374563e-06,1.75359016428008826e-07,1.26793271684727377e-06,1.13253386870472399e-06,-3.90625000000000024e-12
65,1.56321519981299640e-03,1.52758652709051343e-03,1.13838651085080206e-01,-4.79844093982964383e-07,-3.22444691809610281e-07,5.05432558567877260e-07,-2.45200332025294824e-07,-1.64769237514710844e-07,2.58276037428185297e-07,-3.90625000000000024e-12
66,-3.09727912605194306e-04,-3.19004439947836798e-04,-7.42109309745831308e-02,1.01141070889280370e-06,-7.80136129003535340e-08,-2.66351133676111123e-06,5.16830872244222723e-07,-3.98649561920806548e-08,-1.36105429308492785e-06,-3.90625000000000024e-12
67,3.23827553005741841e-04,1.67108420793931267e-03,-1.09510903864718248e-01,2.29410232910484538e-06,-1.28441479684592019e-06,-2.22107322855718302e-06,1.17228629017257599e-06,-6.56335961188265221e-07,-1.13496841979272060e-06,-3.90625000000000024e-12
68,2.41764876061771388e-03,-5.73608743462204100e-04,-1.17395064184279752e-01,-1.63230680563740694e-06,9.53340008145078468e-08,-4.59596369125953187e-07,-8.34108777680714911e-07,4.87156744162135140e-08,-2.34853744623362083e-07,-3.90625000000000024e-12
69,3.33730761254168878e-04,1.07078712234561987e-03,-3.64009884459103525e-02,-4.48114950177847416e-06,-3.04728904470451975e-06,-3.13613152970898293e-06,-2.28986739540880042e-06,-1.55716470184400952e-06,-1.60256321168129038e-06,-3.90625000000000024e-12
70,-1.02678160516631836e-03,1.74752075677760198e-03,-1.10621082622547953e-01,-1.55049187090781049e-06,1.45064914557658264e-07,-1.36319279392903732e-06,-7.92301346033891197e-07,7.41281713389633804e-08,-6.96591517697738060e-07,-3.90625000000000024e-12
71,9.89437270236339728e-04,1.45899896819445915e-04,-3.78922645016051898e-02,3.66466831680728051e-06,1.57461357955185356e-06,2.71206873989169407e-06,1.87264550988852029e-06,8.04627539150997221e-07,1.38586712608465577e-06,-3.90625000000000024e-12
72,4.19404506210799757e-05,-1.09345695057550809e-03,-1.11779523105822690e-01,1.31921420377526148e-06,-2.48458341760447552e-06,8.69627887899057126e-07,6.74118458129158623e-07,-1.26962212639588699e-06,4.44379850716418188e-07,-3.90625000000000024e-12
73,3.01314225950089973e-04,-1.04372901148020998e-03,-7.75508126620649413e-02,-2.87166998236162941e-06,-1.95871475278002642e-06,4.03189872017746093e-07,-1.46742336098679270e-06,-1.00090323867059356e-06,2.06030024601068245e-07,-3.90625000000000024e-12
74,1.44398533906293968e-03,1.79343603262016745e-03,1.10266461162032092e-01,6.84889919888130865e-08,1.20002320384546524e-06,-4.80069963345785698e-07,3.49978749062834905e-08,6.13211857165032759e-07,-2.45315751269696476e-07,-3.90625000000000024e-12
75,8.90578142536754261e-04,-2.56640010311767427e-04,8.62542824706995052e-03,2.10058512274649043e-06,1.59573860145568972e-06,7.31595295884251355e-07,1.07339899772345659e-06,8.15422425343857459e-07,3.73845196196852435e-07,-3.90625000000000024e-12
76,-7.42927523626459789e-04,-2.81259069906132425e-03,1.91292205120348197e-02,-1.32865132842422494e-06,-1.06017131101776169e-06,2.11154836285784566e-06,-6.78940828824778906e-07,-5.41747539930076279e-07,1.07900121342035918e-06,-3.90625000000000024e-12
77,2.16818480981439271e-04,9.81802111800164331e-04,-1.20365599811010304e-01,5.62531872557699652e-06,-7.83233367741139103e-07,4.59341108536034826e-07,2.87453786876984528e-06,-4.00232250915722065e-07,2.34723306461913802e-07,-3.90625000000000024e-12
78,1.14210853326365629e-03,-5.45878128625047971e-04,-1.24602747164144823e-01,-1.56080552655030172e-06,-4.59497559104195706e-06,1.30166384490534745e-06,-7.97571624067204205e-07,-2.34803252702244018e-06,6.65150224746632612e-07,-3.90625000000000024e-12
79,-2.67120060694717783e-04,9.18887909356646366e-04,-2.20552206684533408e-03,4.32293280982810795e-07,1.43349011190172283e-06,-1.10333784134944687e-06,2.20901866582216320e-07,7.32513447181780414e-07,-5.63805636929567324e-07,-3.90625000000000024e-12
80,4.29895696237319930e-04,-8.93009416162131070e-04,4.64748149779190475e-02,-1.49043074116997492e-06,2.96269165838770820e-06,-1.68342011190365927e-06,-7.61610108737857253e-07,1.51393543743611898e-06,-8.60227677182769869e-07,-3.90625000000000024e-12
81,9.70785751790079459e-04,-8.97486719004220277e-04,4.06776963273642322e-02,1.43825643938974687e-06,1.92818890539023137e-06,7.24261552953434308e-08,7.34949040528160683e-07,9.85304530654408162e-07,3.70097653559204913e-08,-3.90625000000000024e-12
82,-1.35731548892289457e-03,2.14792603166323365e-04,-1.50888423044884701e-01,-1.00758010875734650e-06,5.35680677901799567e-07,-3.32872687590518787e-06,-5.14873435575004105e-07,2.73732826407819561e-07,-1.70097943358755111e-06,-3.90625000000000024e-12
83,3.91032323839039060e-04,-2.01212996741134722e-05,-1.13529675289702731e-01,-4.82424852382992696e-07,-6.62377794302168334e-07,-2.66366849943844605e-06,-2.46519099567709249e-07,-3.38475052888408014e-07,-1.36113460321304597e-06,-3.90625000000000024e-12
84,3.46828736640061104e-04,-9.98378905893211642e-04,7.19880454882500156e-03,-5.05525217329221869e-07,1.76048995257416329e-06,4.50012303823303173e-06,-2.58323386055232372e-07,8.99610365765397441e-07,2.29956287253707942e-06,-3.90625000000000024e-12
85,-9.25216307348795584e-04,5.23827236037448956e-04,-5.70833461787450674e-02,-2.05712619960115752e-06,9.03488339159595151e-07,8.76257788613033064e-07,-1.05119148799619156e-06,4.61682541310553137e-07,4.47767729981259889e-07,-3.90625000000000024e-12
86,1.42059725104608865e-03,4.44435868640345115e-04,5.27815710526070916e-02,-5.02142101795049549e-07,-1.02630938352268314e-06,1.02986976898562522e-06,-2.56594614017270319e-07,-5.24444094980091107e-07,5.26263451951654460e-07,-3.90625000000000024e-12
87,-1.33795105743115227e-03,-2.09068952076674978e-03,-8.02545024971155624e-02,1.48031870166644151e-06,-2.67241024423696840e-06,2.98509131502954447e-06,7.56442856551551644e-07,-1.36560163480509094e-06,1.52538166198009728e-06,-3.90625000000000024e-12
88,1.80440541685668592e-03,-9.44023168773857626e-04,1.21754405465026944e-01,-1.96748334858317309e-07,2.86106603259858933e-07,-1.02137150262240557e-06,-1.00538399112600141e-07,1.46200474265787925e-07,-5.21920837840049289e-07,-3.90625000000000024e-12
89,1.25261966321933986e-03,-5.85830914493987880e-04,-2.13244603264417937e-02,2.44212914106261185e-06,-2.48329350566487772e-06,-8.54466321608724724e-07,1.24792799108299477e-06,-1.26896298139475263e-06,-4.36632290342058329e-07,-3.90625000000000024e-12
90,1.30485361518630004e-03,-2.57511994329037437e-04,-4.07644803224615909e-02,3.30098880255813252e-07,-1.70526588857552811e-06,-4.12169308800089318e-07,1.68680527810720570e-07,-8.71390869062094872e-07,-2.10618516796845642e-07,-3.90625000000000024e-12
91,-5.76825040898855152e-04,7.12067845598632928e-05,-1.10506416383766900e-02,1.02702435054346915e-06,2.30455231131759018e-06,-2.96289236357631865e-07,5.24809443127712759e-07,1.17762623108328867e-06,-1.51403799778749898e-07,-3.90625000000000024e-12
92,1.23314267064160801e-03,2.36209717102420767e-04,1.17854464150180360e-01,-8.52336373319645981e-07,9.42719262484910887e-07,2.62151921278053529e-07,-4.35543886766339092e-07,4.81729543129789478e-07,1.33959631773085358e-07,-3.90625000000000024e-12
93,-1.06631383729957453e-04,2.50182429334268579e-03,-1.15515191640264640e-02,-1.94271027808557729e-06,1.69953455575235021e-06,-5.06819015622627882e-07,-9.92724952101730062e-07,8.68462157989450921e-07,-2.58984516983162872e-07,-3.90625000000000024e-12
94,-1.44558715207584109e-04,-7.96345169661152809e-04,-1.68580745424415257e-01,-1.67460538253639109e-06,1.89671933076129078e-06,1.13804360785421097e-06,-8.55723350476095850e-07,9.69223578019019650e-07,5.81540283613501807e-07,-3.90625000000000024e-12
95,-8.64138817304758674e-04,2.14219890935727920e-04,-9.87533502284733966e-02,-1.45440113862074439e-06,1.34857052314469102e-06,-1.29442812080678849e-06,-7.43198981835200367e-07,6.89119537326937175e-07,-6.61452769732268899e-07,-3.90625000000000024e-12
96,8.29858757856255448e-04,-1.62292877667033334e-03,-1.66743432399719393e-01,-1.03816997259997079e-06,-1.88511986737694864e-06,1.65103633252479665e-06,-5.30504855998585116e-07,-9.63296252229620798e-07,8.43679565920171124e-07,-3.90625000000000024e-12
97,3.07316663730353092e-04,3.84401036061346273e-04,-1.12368972305660370e-01,-2.50226796444261696e-07,1.14602941132491314e-06,-2.49232428225289486e-06,-1.27865892983017728e-07,5.85621029187030592e-07,-1.27357770823122940e-06,-3.90625000000000024e-12
98,1.08325845303815596e-03,1.38649450567949659e-03,3.65925735451142001e-02,-8.26204131946887415e-07,-3.24747439719764372e-06,-1.28155553511893497e-06,-4.22190311424859458e-07,-1.65945941696799593e-06,-6.54874878445775758e-07,-3.90625000000000024e-12
99,-1.27646294053147878e-03,1.24907817749496126e-03,-2.79029216274553418e-02,-8.24410561667786249e-07,-4.38458924956998667e-07,-3.02515119592215159e-06,-4.21273797012238801e-07,-2.24052510653026321e-07,-1.54585226111621952e-06,-3.90625000000000024e-12
100,-1.68174344059993433e-04,4.89668944190531060e-04,-6.85895642881742956e-02,1.94021384341742842e-06,-3.23470802407989598e-06,2.18541488529219287e-06,9.91449273986305979e-07,-1.65293580030482698e-06,1.11674700638431058e-06,-3.90625000000000024e-12
101,1.51504004857759165e-03,-6.11127471804628723e-04,1.07210231437518649e-01,-3.43112808676187224e-07,1.92240198415432433e-06,-2.06067204197218136e-06,-1.75330645233531675e-07,9.82347413902859662e-07,-1.05300341344778472e-06,-3.90625000000000024e-12
102,7.80409885197965087e-04,1.77609178137747795e-03,5.14533487254211497e-02,1.26068543517401763e-07,1.01050736084522995e-06,4.10529730199195748e-06,6.44210257373923041e-08,5.16369261391912540e-07,2.09780692131789026e-06,-3.90625000000000024e-12
103,8.72999917671246129e-04,-3.74793886626273377e-04,-2.15742869974694662e-02,7.46163506524169629e-07,3.35490270191782564e-06,6.79791724939875787e-07,3.81289551833850687e-07,1.71435528068000889e-06,3.47373571444276513e-07,-3.90625000000000024e-12
104,-5.85534645789503546e-04,7.72902569687622062e-04,-6.25079093228230048e-02,2.75622513084208402e-06,8.15774204525926048e-08,3.02623216207869521e-07,1.40843104186030488e-06,4.16860618512748185e-08,1.54640463482221335e-07,-3.90625000000000024e-12
105,1.53014458536297683e-03,-8.20696280985783866e-05,-1.15109832704218595e-01,1.96929645883034725e-06,-2.21661507150555989e-06,-2.89738014864192898e-06,1.00631049046230756e-06,-1.13269030153934108e-06,-1.48056125595602578e-06,-3.90625000000000024e-12
106,-6.31856753305694058e-04,1.18883480048737836e-03,-4.45537822521555257e-02,5.74695764906644867e-07,4.34135668184039087e-06,3.06959445102635215e-06,2.93669535867295526e-07,2.21843326442043981e-06,1.56856276447446607e-06,-3.90625000000000024e-12
107,6.24443821689722690e-04,-1.53098764838274673e-03,4.87700399094843431e-02,4.64192263879049608e-07,1.48867572133812195e-06,7.28799642370914232e-07,2.37202246842194352e-07,7.60713293603780353e-07,3.72416617251537186e-07,-3.90625000000000024e-12
